n_layers,n_nodes,activation,epochs,grid_size,learning_rate
5,36,sin,72250,190,0.022268314414956053
8,31,tanh,96942,20,0.029716781749856765
7,84,tanh,80535,169,0.0010495235227229018
3,78,sigmoid,72722,128,0.04908018636477358
8,72,sigmoid,64060,72,0.0010941746081600974
7,37,tanh,72147,56,2.404418311387224e-05
4,53,relu,36966,183,0.0009509627106713449
3,13,swish,81691,88,8.2550842445541e-05
8,55,sigmoid,64959,53,0.001016462913305869
3,61,relu,78561,88,0.011890726806095
2,6,sin,66348,30,0.027892926364434276
4,14,sigmoid,76592,127,0.009316604523347876
7,17,sin,18468,105,0.05689003782985483
5,46,relu,77688,71,0.047967726697391376
9,12,relu,20888,158,3.534923352103448e-05
9,19,sigmoid,94791,93,5.573938538642909e-05
3,28,sin,41943,112,0.004001031970795167
5,86,relu,24550,199,3.727117765472408e-05
5,8,sigmoid,66141,86,0.00042590055752602876
3,90,sin,54189,193,1.3431106226933917e-05
6,85,swish,57923,149,1.2045335720062975e-05
7,39,swish,90314,99,0.00019797019045578496
4,77,relu,55486,52,5.778586185342142e-05
8,55,sigmoid,78126,189,0.055060448704081486
2,83,tanh,87542,154,0.008682529692127171
7,86,sigmoid,10374,67,1.872301932951689e-05
5,27,sigmoid,75994,163,3.84609304655276e-05
8,93,sin,82939,176,3.0744766357443226e-05
3,21,relu,50752,167,0.0264886218432168
8,39,relu,41432,142,0.004742544450632777
9,75,tanh,31170,168,1.7308232501818743e-05
7,51,tanh,84891,106,0.015504396065523968
10,86,relu,6038,170,8.321687557475752e-05
6,93,sin,51314,28,0.0007540911657411114
8,25,sigmoid,99149,87,0.0006651917979110268
4,32,relu,12406,97,0.00019584451776936368
5,5,tanh,91374,17,0.0008016068435373106
6,98,relu,38762,86,0.05886852680423303
6,25,sigmoid,30514,58,1.636431775674406e-05
2,44,sin,96536,55,0.08468768285169168
8,60,swish,15056,175,0.00922805508796111
8,46,sin,64167,129,0.04822188867670906
8,93,sigmoid,76185,94,0.004549756827932288
4,40,sigmoid,80866,53,0.004146257569053737
6,32,sigmoid,21629,180,2.5187668431564823e-05
9,95,relu,96743,198,0.00023642884804766682
7,11,relu,91560,135,0.0004302142269169883
4,24,relu,5011,109,8.840239557634144e-05
3,88,sin,98452,14,0.01871010044341149
6,37,relu,46425,54,0.02308093804085763
2,17,tanh,29185,65,3.1848347942024196e-05
2,70,sigmoid,97505,74,0.019470179203329854
7,15,sigmoid,97032,105,0.01654478390546253
9,55,sigmoid,32242,51,0.00029457713180685517
3,36,tanh,8869,79,0.0001734742567634438
3,69,relu,72665,14,0.010601426633772665
9,51,swish,53161,25,2.26011079788746e-05
7,6,tanh,80643,18,3.9245581080226486e-05
7,43,sigmoid,69707,73,0.0004177316220077063
9,57,relu,73914,182,0.003092227800750415
4,54,relu,28748,157,7.115040069826001e-05
5,28,sin,7982,99,0.008949597565255355
3,65,swish,29521,186,0.00013841488641555593
4,22,swish,51102,34,0.0008457022147967049
2,96,swish,94519,167,0.00010185236205911004
5,11,swish,39356,129,2.656011277725284e-05
9,14,swish,75377,13,0.0682229850021033
10,65,relu,57905,65,0.015398303880120003
8,91,swish,35132,129,0.00035894004662522715
6,49,sin,77211,66,0.02617058185225326
9,91,tanh,22885,24,0.0017519941023034595
7,21,tanh,17117,69,2.8446484712774643e-05
5,13,sin,57588,181,4.099494148846312e-05
3,82,sigmoid,25423,28,0.0015967995595144373
4,70,swish,36797,115,0.00334456104429823
6,86,relu,76727,191,0.019200614620762075
3,27,sin,97298,58,0.04438837845892355
8,76,sin,31297,101,0.008472101510278314
4,43,swish,59987,17,0.008764448593632557
6,45,sin,16809,128,0.007037234369642154
8,35,relu,21437,68,0.0012958051996787062
8,13,relu,78764,34,0.00025934610618106994
4,12,swish,13321,157,6.173996853117518e-05
4,96,relu,92022,174,0.006167247671784637
9,75,relu,97246,139,1.9627712445193054e-05
2,100,relu,65572,142,0.0033237757498357644
3,64,swish,87943,152,0.031017243929938768
4,63,relu,81843,178,0.052120063576297955
4,33,swish,43992,43,0.0031270423825342556
3,51,tanh,28548,82,0.0021442962027815706
9,56,sin,73245,36,0.06763374924269164
5,93,relu,36716,39,0.0009410460119445016
2,49,swish,33079,10,0.0002254017087251955
10,90,relu,16002,193,0.02164766260911298
6,50,sin,70958,99,5.467797077040673e-05
8,66,tanh,26281,30,0.0036745651826042653
7,23,relu,81797,17,0.00047193760186192495
8,7,swish,41035,154,0.0025347707108594
2,52,swish,30883,28,6.157120675164542e-05
7,81,tanh,6709,180,0.0050198198524285375
9,7,tanh,30835,159,0.0038160581006779592
2,60,swish,50432,93,1.6275165103185927e-05
3,52,sin,48599,73,0.0008290147679371775
5,14,swish,84241,183,0.0023826745240008752
3,52,swish,89841,111,0.0066568814684648
3,9,sin,77191,46,7.546218078864526e-05
7,64,sin,55321,185,0.0014984484663133257
6,58,sigmoid,24370,117,0.08605725474761196
9,12,sin,43547,23,0.00020105162677071036
7,6,sin,12146,55,4.6336848409431174e-05
6,72,sin,80618,62,0.0001025484471450286
5,97,sigmoid,31026,69,0.0004425427079011067
4,70,sigmoid,26726,36,0.008552087841306085
7,24,relu,62914,18,0.002797155822876676
8,54,sin,74103,184,0.009682138371645298
6,35,sin,24240,22,3.238983553412515e-05
4,89,sigmoid,42744,39,0.0008650771139930968
7,70,tanh,79982,147,3.464944787681922e-05
2,38,tanh,93351,137,0.010780941717268313
6,56,sin,27300,177,0.010293205367713484
9,54,relu,34610,64,1.742606482344214e-05
6,91,sin,48676,153,0.00014876320888662233
8,73,swish,65986,21,0.003917569956269535
9,33,relu,86539,139,0.0003527108481323885
10,57,sigmoid,63104,22,0.00022753978827980947
8,64,swish,36777,27,0.010026700716900094
7,56,tanh,79623,90,0.0012181167664090194
7,56,tanh,50530,112,0.0004578995735949547
3,84,sin,57443,166,0.01281113791066433
7,6,sigmoid,71625,173,1.1850980415726467e-05
9,29,sigmoid,40662,30,0.04345658916877048
7,96,sigmoid,78839,103,0.010681076842681487
3,44,sigmoid,17631,164,2.028780537629403e-05
6,83,sigmoid,94441,40,0.0006884688431726343
10,11,sin,47030,157,0.001044778608614509
4,34,relu,61257,83,1.4162942863328463e-05
9,5,tanh,52497,136,0.0010212534911515072
10,64,sin,62988,15,4.312568627880338e-05
9,36,relu,96226,146,2.4307442737113595e-05
9,12,swish,65679,11,0.024905581290616995
5,83,tanh,22381,196,0.07877212185374675
5,8,sigmoid,85575,110,0.0001036037868290463
8,31,swish,12711,183,3.33804137942212e-05
4,47,sin,53208,85,4.807987708014864e-05
8,61,relu,28852,90,0.0006188267040990261
3,86,tanh,94932,115,9.092984005355895e-05
9,38,relu,11143,39,0.0019801721397810132
7,23,swish,76680,125,2.6964631224632525e-05
10,25,sigmoid,55515,110,2.670676613499725e-05
6,54,sin,18378,114,0.03716201900961583
5,80,sigmoid,70215,70,5.49942997763618e-05
4,29,tanh,94011,23,8.505393700260684e-05
7,19,relu,72883,190,0.024006554963941364
3,6,swish,61651,132,0.06986770908931697
10,7,relu,8298,58,0.00019058470120606006
2,90,tanh,40009,110,0.06185529060150555
2,67,tanh,36385,113,0.02436736640276602
4,44,sigmoid,87872,123,4.557251003393875e-05
5,39,tanh,9333,47,0.00018856491269774643
6,60,tanh,70091,96,0.001175395530636719
8,70,tanh,88408,62,0.008799540858076459
7,74,sigmoid,7016,96,6.653345339871104e-05
6,70,sigmoid,17485,132,9.881462172243525e-05
3,59,tanh,48373,152,1.4042172608100578e-05
4,67,sin,56699,43,0.00027599750852655544
3,67,swish,31509,169,0.00011337193231778051
4,51,tanh,15139,169,1.572030084546043e-05
3,92,swish,8832,85,1.99974672293103e-05
5,20,swish,62566,186,0.0005552335290192486
4,94,sin,92445,91,0.0009373578962081976
3,62,relu,69226,34,0.0002495687054916442
7,84,tanh,52545,34,0.05725414527083585
6,54,swish,13099,174,1.5374846347399636e-05
3,77,relu,51655,67,0.0007593787120609914
4,92,relu,94291,135,0.0001637989427504
8,33,sin,5657,127,0.008409726925608048
6,58,sigmoid,64639,195,0.07973233526983517
9,65,relu,79436,135,0.00013992706229382985
3,36,swish,45698,38,0.003170163717041393
3,73,relu,22922,107,0.011610773618736855
10,24,sin,86206,124,0.01174515071267904
4,39,sin,13632,104,0.0034296713246579256
10,88,sin,34569,116,0.0001323036743074623
3,27,relu,31910,26,5.551564447159345e-05
9,89,sin,54735,174,0.08549779087409484
10,46,sigmoid,65252,12,0.0003894853498144303
6,83,sigmoid,83632,37,0.00017698578996670362
9,98,relu,74218,195,2.151871151293161e-05
3,18,sin,53979,110,0.0003820060389729025
5,91,swish,81931,154,9.713385954286116e-05
7,39,sigmoid,74522,153,0.00044034064622738427
7,22,swish,84298,61,0.011975720785255294
2,49,sigmoid,15231,92,0.011917483974673392
3,36,tanh,57656,147,0.003982439282000753
9,80,swish,99830,159,0.0018259028054337257
3,25,relu,93310,14,0.0030088157443082463
4,85,tanh,83586,141,4.733126131487617e-05
10,29,relu,84417,48,0.0007817348700175793
4,72,relu,38051,56,2.9021732454898896e-05
6,79,sigmoid,22688,163,0.07680181838803202
4,29,relu,53226,143,0.0001659275057462179
9,40,sigmoid,42764,17,0.032155033674958505
7,33,relu,47587,153,0.001679157966137648
8,64,swish,34430,72,0.00010691985913474979
5,27,swish,40175,123,1.754918479078266e-05
10,39,sin,37017,49,9.658191947170044e-05
7,67,swish,96851,125,0.00019650598573094346
6,82,swish,69775,51,0.0001506446049944331
2,9,relu,88205,165,0.000423910709117798
10,79,tanh,95581,95,0.0002299095227103257
5,69,sigmoid,14413,13,1.9453518631524677e-05
2,62,sin,10295,120,0.02281554930757292
9,15,tanh,82628,87,0.037507795169248216
4,76,tanh,26380,27,0.04875971946293379
5,25,sigmoid,61492,24,0.0983102237949868
3,34,tanh,38141,156,0.0001374320410118584
10,89,relu,39787,75,1.7281852461300076e-05
8,94,swish,53766,151,0.002000921671878522
9,9,sin,68199,143,0.0002819115856972122
7,13,sin,51892,174,0.004647459142393797
6,59,tanh,68702,187,0.038679377528021266
8,63,relu,69590,143,0.07060064261554785
2,15,relu,58409,140,0.009697644835465789
6,41,sin,37608,16,2.7459900410827823e-05
8,34,swish,10100,37,0.06004972022500844
4,55,sin,14368,42,0.00033370673890331556
4,25,sigmoid,71800,22,0.06679208436338183
8,7,swish,65749,54,0.0320109262969357
6,17,sin,87649,185,0.000410265847611486
5,81,sigmoid,63450,73,0.0014780094403668564
4,87,relu,99239,27,0.0011407986381457961
2,75,sin,62730,185,0.00024319652504066903
8,52,sin,19334,37,0.00025173552116011913
10,31,sin,49126,67,0.07722781440750466
6,68,relu,53855,44,0.0006706737816128874
8,74,swish,74839,74,0.001371581818969967
8,88,relu,96009,95,4.823750984897493e-05
5,14,sigmoid,94986,40,0.022594470537581946
8,55,relu,30004,134,0.0004629171945753504
4,56,sigmoid,53040,61,0.024852645748794488
6,71,tanh,83396,124,0.0191120496790477
7,34,sin,41988,87,0.0023900677064553214
6,70,swish,37185,64,0.021772112088241275
8,97,sigmoid,71592,155,0.03544150434399225
9,7,sin,88001,145,0.024597941183594207
7,47,swish,75397,13,0.001155355953524432
8,32,sigmoid,71909,70,3.4262494320464835e-05
7,76,swish,91678,58,0.03269598097412367
7,24,sigmoid,38945,32,1.619840905577636e-05
9,39,relu,90747,187,0.00549723361522412
3,95,swish,36561,127,0.014365232084184465
8,6,tanh,40983,184,0.004937184985890648
3,40,relu,71493,128,0.02345314131772087
9,50,relu,99710,157,0.00022833278760956747
3,66,relu,37867,188,0.00045946750271263673
6,66,tanh,10225,167,0.005350565653448244
4,97,swish,73834,34,1.243032750292591e-05
8,41,swish,30924,168,0.00023827123724976776
9,53,swish,70727,45,0.0802043641618497
5,8,relu,47998,188,0.00168916177836494
8,57,relu,23135,57,1.421348446294705e-05
6,38,sin,42272,88,0.025999977324926003
9,93,sigmoid,78437,51,0.005187185871846317
9,57,swish,16374,112,0.008192419093606492
5,59,sin,86939,83,0.0003046087927624263
4,95,swish,99382,200,0.0016153321197326434
3,62,relu,75757,194,1.90081239418663e-05
9,13,tanh,41636,16,0.006461162753323602
6,8,sin,80516,64,0.0007470221301129311
5,34,tanh,60573,163,0.022486789494791458
6,75,sin,46761,54,0.04238890430111916
8,93,sin,56347,65,0.01931645348084568
9,48,sin,81584,37,0.002205926613370385
4,61,swish,57031,160,0.0002983009325040922
6,22,sin,34880,132,9.445574826526494e-05
4,34,sin,67922,110,0.0005226109451922599
9,90,sin,94575,183,0.00010384708541120985
8,24,swish,93792,123,0.00010488695967417388
7,74,tanh,42118,157,0.0006534297574184328
5,8,tanh,37785,25,0.0032660027569119806
3,63,relu,19272,180,0.06938739805323761
8,81,swish,65780,149,0.0010718033958320686
4,57,sigmoid,41151,95,0.039231351012205394
4,92,tanh,48264,193,0.0006984471062310389
8,88,tanh,58842,101,0.0007743142128347057
4,28,relu,83681,35,1.2971427986599967e-05
5,68,sin,24829,188,0.01743311308287551
8,25,sigmoid,81527,184,0.010245159173969943
6,20,tanh,57421,124,0.0006737783293687888
3,62,tanh,8328,179,0.00010205977211434759
7,27,sin,66408,166,0.008490241534204707
6,80,swish,19047,142,0.001058305727105382
6,49,sigmoid,47186,11,1.4943367304327479e-05
5,87,swish,17185,138,0.04570598486806105
6,96,sigmoid,29812,176,0.00987144029428716
6,36,sin,8427,124,0.00013383916030833105
5,18,tanh,11466,87,0.03294344532605565
6,88,sin,13368,37,1.9263429648827368e-05
5,92,relu,96627,90,0.026412328168718018
9,61,tanh,67088,133,0.006510561362468847
7,23,swish,5714,171,0.0028420238396753557
2,74,sin,19417,169,0.001801297437165686
3,81,sin,30333,20,0.06259993689647803
6,51,sin,65062,199,0.0002175889980929411
7,20,swish,44741,18,0.00439871216989156
10,91,sin,79806,130,0.003187058189835068
6,54,sigmoid,45393,33,0.012351442321502034
3,39,relu,27623,54,0.004195657851669936
9,67,tanh,34954,74,0.005428095025922881
10,55,tanh,98125,192,0.02623982779138992
8,21,tanh,25535,32,0.01472869057097313
3,54,tanh,45956,197,0.0003282708065284117
2,93,tanh,8530,113,2.4479721633239662e-05
8,98,sigmoid,18737,38,0.005139189560694748
8,54,tanh,94725,62,0.00013333285690662276
5,57,swish,47395,93,0.0077489489084652035
8,55,sin,13649,36,0.034366111856784606
6,95,sin,53696,75,6.818845051629235e-05
8,86,swish,46538,101,0.00026348909244018197
3,58,sigmoid,41833,17,0.09787314633761779
8,64,sin,54805,86,1.0053312122086064e-05
9,43,sigmoid,14217,195,0.06074507498262401
5,11,tanh,93870,162,0.00013508050041622591
2,55,tanh,34081,108,0.0007214267025098645
7,91,sigmoid,56274,99,0.006133908475192105
5,85,relu,10806,64,0.0010345593316121323
4,92,sin,69063,100,0.00038120147118629393
5,77,relu,56614,194,0.0007717568022582594
7,26,sin,74873,96,8.30645369043467e-05
8,74,tanh,7641,10,0.01865245605900989
3,77,sin,94770,144,2.1588062989248224e-05
5,83,sigmoid,20017,106,0.007974856404101041
9,71,relu,70800,199,0.004702251394752124
5,92,relu,36220,39,0.00022396296966341949
7,29,tanh,93896,81,2.3757017401910472e-05
3,80,relu,83777,172,5.95064417987098e-05
3,50,sin,85057,173,0.0007335705899981969
7,74,sigmoid,59088,99,0.00014358726440953423
4,37,sin,10169,183,9.249678304824672e-05
9,73,tanh,76073,181,0.0008326875441614155
6,35,sin,30940,78,0.059866139429629255
5,57,sigmoid,30567,103,0.0005402993640398887
9,38,tanh,60794,73,1.3725941776413714e-05
4,91,tanh,11335,161,0.011457371794711308
4,57,tanh,20918,115,0.013711165727285217
7,50,relu,38972,141,0.0004647155141141314
8,31,sigmoid,85935,43,0.010148446582425454
3,42,tanh,40562,45,0.05442346738805288
7,69,tanh,9929,199,3.658285002852516e-05
3,91,sigmoid,67691,140,0.009044002971235284
9,19,sigmoid,37155,11,1.7684815921469272e-05
4,47,sin,29685,55,4.536232848721671e-05
5,53,tanh,44356,60,0.01564893003152032
10,58,swish,25329,19,0.0019627037830773544
9,46,tanh,42420,152,3.388280768625806e-05
9,18,sin,80978,138,6.745648998650203e-05
7,80,tanh,50256,139,0.0005974397338998141
5,68,swish,91085,40,3.517930749193304e-05
3,98,tanh,69666,94,0.014313346739722862
3,19,relu,21967,159,0.010423576891463341
5,82,swish,70310,105,0.003261490885634351
5,35,tanh,97365,69,0.0008899788405955546
4,19,relu,15430,29,0.0007626849066764235
6,99,sigmoid,44939,65,0.030845113853011072
8,11,relu,50690,134,6.281254408278393e-05
5,61,sigmoid,62070,147,0.07485564543780812
5,97,sigmoid,60975,44,0.0721009903629452
3,60,sigmoid,12291,126,9.859580236267405e-05
7,87,tanh,94606,107,0.00010643055187363008
5,67,swish,70353,60,1.6980453196826736e-05
6,27,sin,73153,181,0.00043253150391965226
10,55,sigmoid,46118,102,0.011102735201092073
4,19,relu,11068,172,0.03503978025244773
7,86,relu,74376,66,4.3926442358087985e-05
8,58,swish,74050,174,7.484795794135628e-05
8,18,tanh,53477,64,1.5081194679649143e-05
3,88,swish,50024,158,0.0009942592843479277
8,96,tanh,13871,19,1.7945250040229642e-05
5,41,relu,32216,93,4.4470499382614436e-05
7,51,sigmoid,35043,189,0.0023572237558169436
5,49,sigmoid,82867,118,2.1978540632136778e-05
8,8,sigmoid,17244,48,0.04209532340818471
7,89,tanh,67803,120,0.0006276468764397842
7,11,sigmoid,8941,58,6.408835149810116e-05
9,50,sin,11431,198,0.08389663271031964
8,14,sin,54397,155,0.0026659602172216814
9,11,sin,29321,33,0.001446379377952398
7,38,relu,62506,39,0.04070292063583889
8,91,tanh,81100,182,0.026742379568750654
9,92,sigmoid,85713,171,0.00036126120023508853
6,48,sin,7610,151,0.0024942386063985765
3,26,relu,37574,189,0.00011517609461474167
4,99,relu,86237,70,0.05000981961649123
4,96,sin,40513,37,0.005204370680879865
6,80,swish,47087,172,0.00039754058964169457
3,65,swish,22781,44,0.003193256526299453
3,52,relu,46321,89,0.00043729376085876244
10,76,sigmoid,87907,22,0.028601191088018747
8,5,swish,60474,142,3.051611334662825e-05
3,61,tanh,39466,148,0.00152592114969752
4,54,sigmoid,21258,35,1.523352267920929e-05
8,67,swish,89188,130,0.022156046226125957
7,72,swish,68752,183,5.263064224383576e-05
8,58,tanh,35701,42,0.03340675629781581
2,43,tanh,24955,32,0.00030594984948932775
10,31,tanh,89614,160,0.00012519927013095183
3,23,sigmoid,23236,53,2.834208606033757e-05
6,60,relu,68595,89,0.0002713797619561738
8,100,swish,55405,69,2.0846321789767172e-05
2,94,relu,48120,52,0.07085277164740862
4,40,tanh,76034,150,6.134590705272804e-05
8,49,relu,13537,60,0.010731092736163536
3,98,tanh,42619,99,1.129700099206926e-05
4,78,sin,88624,179,0.001672475752719872
7,61,sin,76516,78,4.3686452474587686e-05
9,87,tanh,18824,173,0.020736871227310504
7,15,sigmoid,91292,133,0.00023256231842714114
4,25,swish,87063,85,3.905343390479591e-05
8,52,relu,44498,39,0.0021036657702736376
3,66,sin,12420,152,7.196353227269776e-05
8,24,relu,6861,27,0.05610550142113939
4,98,swish,33120,192,0.0023049969867678087
7,13,sigmoid,68516,162,0.0001578612023310833
2,81,sin,84464,126,0.003469371405143193
7,82,swish,45921,12,0.0003272132853192226
6,99,relu,12052,195,0.05934895086185216
8,11,relu,29277,74,0.08328311885975193
7,42,swish,88304,167,0.00018909025609547446
4,94,relu,68393,41,0.00017097038939880703
2,19,swish,78777,23,0.027529836223785395
5,92,tanh,52066,149,0.030688638353170577
8,74,sin,54632,80,5.115239074110829e-05
3,42,relu,43368,76,9.544570413820253e-05
7,53,swish,70887,156,0.0003499150751565984
9,89,sigmoid,67532,68,0.0010807245029210392
7,47,sin,85313,17,0.001246297159779622
2,89,sin,27806,198,0.00020968446827312467
9,69,sigmoid,23097,55,0.0009038475891000955
8,49,relu,37775,178,0.003396132756606311
9,73,swish,14653,80,1.2561744330593448e-05
7,23,relu,69440,99,0.08267593705797505
3,22,sin,24638,33,0.00014477319287508632
5,73,tanh,31604,71,0.03415502951041585
8,31,sigmoid,11911,131,0.0005421304865383643
7,11,swish,14184,176,0.07580012235543114
4,97,sin,88508,137,0.09435292506567411
5,30,swish,56109,118,0.0010271580997877488
8,96,tanh,58619,90,0.051087922837830355
6,53,sin,47498,119,0.0006141622155334725
8,13,sigmoid,33981,137,1.3142379656283237e-05
5,77,swish,21240,102,0.0006593580759754614
3,19,swish,68880,102,0.009740585027901292
10,89,relu,62196,46,9.360522793360688e-05
4,68,swish,84582,68,0.043960937129871126
8,75,tanh,73312,102,7.887139608046542e-05
10,53,relu,40784,194,8.722463976783439e-05
5,45,swish,9655,41,1.3309846112388162e-05
10,23,relu,7304,19,3.471634465752532e-05
5,100,swish,6451,77,0.004985932306983213
7,41,tanh,6738,172,0.06123503745921067
3,63,sigmoid,56526,170,1.2011482298130504e-05
9,66,sigmoid,33800,178,0.00035624526273896057
9,13,sin,65327,76,0.005977010256108001
2,52,tanh,44133,71,0.035927196946867544
2,32,sigmoid,42313,104,0.0043485461685123655
8,50,tanh,61896,83,0.0005613055098032517
10,59,relu,84472,190,6.010766872329981e-05
4,59,sigmoid,85868,146,1.665296528880993e-05
9,66,swish,75260,29,0.0009497572265555296
7,23,tanh,38193,185,0.00045630418627192403
10,33,sigmoid,64892,184,0.000385929404907318
7,50,sigmoid,8603,40,0.00039568993237011407
8,91,tanh,88962,111,0.0002063040110241575
2,15,sigmoid,84798,120,0.0011132212723285516
3,77,tanh,5791,145,0.008378896359474716
5,46,relu,45658,106,0.005158690115595762
7,38,sin,65478,180,0.006717975045381212
9,21,sin,52922,54,0.04587341676302439
9,29,sigmoid,67459,37,0.07356197320091729
6,30,sigmoid,5175,64,2.5295362458812195e-05
8,84,relu,27047,137,6.682431144260627e-05
9,8,relu,7458,184,0.0026911200689206482
10,17,relu,28701,114,0.0018525179860666302
8,96,sin,76641,40,0.00051504705094113
4,67,relu,24922,89,0.0001305017741348896
3,27,tanh,11538,152,0.007083056351534436
7,24,tanh,18088,171,0.00120255561683381
5,63,tanh,89926,182,0.00024328363361636837
8,21,sin,87711,133,0.0008596000601063385
6,39,tanh,76547,177,0.000207552010009854
7,97,sin,52601,189,0.0006768792987083891
6,94,relu,71867,111,0.00041437373357245164
7,84,relu,41056,84,0.01610050340783483
5,40,tanh,46690,175,0.005615138520975697
3,69,relu,51370,170,0.001304085305432582
3,73,relu,34675,68,0.003404759914652832
3,15,tanh,92245,105,0.004954946639971579
10,36,swish,28932,123,1.428854712964955e-05
5,57,relu,25355,71,6.98391984594652e-05
5,48,tanh,85360,177,4.173638964920785e-05
6,45,relu,88680,23,0.0005277610262790914
2,9,sin,55279,33,0.04763829628333824
2,38,swish,40383,47,0.023201554574223456
10,9,tanh,45722,110,0.0014293734344572452
3,35,tanh,33331,152,1.2385969954024301e-05
10,6,sin,34453,125,0.0019691769791292764
4,59,sin,87663,68,0.00040575933637843623
8,34,sigmoid,84070,55,0.0001313031358417328
9,53,relu,55745,116,0.05347030073224578
10,20,swish,54503,23,0.0011005419498070906
3,63,relu,32324,102,0.0018389123997986393
6,25,sigmoid,57233,91,0.002434450035921186
7,88,sin,42092,187,0.0007380220231234994
6,56,tanh,38773,18,0.015302978030949184
10,69,swish,9306,196,0.04319541508422614
5,40,swish,88501,154,4.7819945244742414e-05
3,68,sigmoid,90523,76,8.134301852577119e-05
3,17,swish,44312,28,0.0024068201256150666
8,76,tanh,46574,117,0.00021158163997056433
8,22,tanh,49177,160,0.0021229902246834237
5,52,swish,13221,52,0.024485584915662963
6,90,relu,20587,28,0.009104391849568473
8,87,swish,61754,68,7.295311249958464e-05
5,80,relu,14598,193,1.3891282143176332e-05
2,60,sin,46962,67,0.03530728790234959
3,7,sigmoid,69477,141,0.0001056397788882002
4,95,swish,19679,190,4.1329492370683196e-05
5,11,tanh,64905,188,0.003724508399998309
3,72,swish,75584,160,9.496597437383084e-05
10,44,sin,83026,186,0.033230614897634604
6,97,sigmoid,80190,78,0.0037780359558253433
8,77,swish,61449,74,0.0010041388459254396
6,50,sin,42934,25,0.039708673147054556
5,7,relu,46209,116,0.0015116000868816062
6,47,sigmoid,74977,21,0.0009027368806717868
9,51,swish,77781,31,0.0003398915406269459
10,8,sigmoid,84989,121,0.06414690952357291
4,72,sigmoid,55833,96,2.089552801940811e-05
9,73,sigmoid,98057,53,0.002851346716924869
5,42,swish,77900,186,0.02927237241760605
7,86,sigmoid,16504,43,2.8823023742499237e-05
7,30,sin,38623,113,4.956679072754478e-05
8,69,sigmoid,58687,26,1.4704343291361875e-05
7,57,sigmoid,79121,32,1.1743756547075993e-05
2,23,sin,32042,81,0.04423394794993987
8,19,relu,43022,143,0.02238647934811336
3,76,sigmoid,19826,166,2.892585006902079e-05
4,93,sin,21078,40,0.0003148777804444969
7,94,relu,54650,177,3.548960893588206e-05
4,11,tanh,64720,141,0.0003066789772762113
5,30,relu,69977,160,0.02127495348884623
8,76,relu,20464,25,0.005560182153033436
3,12,sigmoid,71746,56,5.0807164800339516e-05
5,85,tanh,51166,66,0.0022994159821240357
6,33,tanh,11717,14,0.0018715931680576467
6,82,tanh,68029,139,7.657291957321706e-05
4,11,tanh,66088,50,0.0019350984094533839
6,48,swish,85382,106,0.012577380055888187
8,63,sin,65143,89,0.007507029473890465
9,17,sigmoid,8731,72,0.0006068635176407573
7,31,relu,60021,130,1.0158158474136108e-05
3,58,tanh,35489,142,0.00041888755718707036
4,47,swish,44562,96,0.006041773047345081
10,41,tanh,21509,72,1.8517405926553302e-05
2,32,tanh,71114,14,0.014108995102715105
4,29,tanh,84540,37,0.0017331067933519409
9,30,swish,40288,161,5.7393975586088007e-05
4,80,relu,12993,154,0.0006939904022357992
4,54,sin,75805,65,3.857878400561781e-05
4,20,swish,94206,118,0.09615913329403546
9,90,tanh,52810,34,0.0012294501173268223
3,82,relu,34339,178,9.618417414439285e-05
9,87,sin,76119,63,0.0011838984315681626
4,62,sin,30387,186,2.690739713185558e-05
4,66,swish,64302,16,0.07518861676551178
9,73,swish,97219,49,0.0003708620569194559
2,51,sin,60211,127,0.00035320484474509086
6,23,sin,71018,26,0.0009618536429212957
8,30,swish,16168,62,0.0005158865823658949
5,22,swish,20306,139,0.0014793185843996926
9,40,tanh,73456,167,0.00012274147658012917
7,66,sigmoid,46365,32,0.0005780650942788083
9,20,relu,9031,28,0.0146695757451345
8,48,relu,23761,170,0.02887428523470094
10,29,relu,6140,103,0.0001045901566131118
4,43,relu,10760,100,0.003539711959092096
9,83,sin,90369,112,0.018509571729514892
4,48,relu,27597,164,0.00015310934327657165
9,54,tanh,47322,81,0.011246134826658444
4,23,tanh,39185,98,0.00017059149671426512
8,95,swish,95639,137,0.037758420773165116
7,45,relu,67605,57,2.361231761911851e-05
6,40,sin,23769,81,0.008650049116316508
8,79,sigmoid,23507,118,1.8815810547472567e-05
9,37,sigmoid,97862,44,0.0001823571774369567
2,11,swish,43629,120,1.220810712639069e-05
8,75,sigmoid,63035,56,0.0010551024786574388
7,50,sigmoid,6348,82,0.007810812054792358
4,97,sigmoid,51510,197,3.0339498240136603e-05
4,59,relu,6214,38,0.00013687065804732682
3,35,sin,14535,106,0.05308142626668219
6,72,sigmoid,10948,52,0.0001905400014223133
3,23,sin,9094,56,0.06282335275185502
9,71,sin,49869,73,0.0002894922051831161
9,28,sigmoid,59600,51,0.06833761578499728
9,67,relu,65450,26,0.002485212825286736
7,74,tanh,63520,163,2.705956244019939e-05
9,19,sin,93563,53,0.07410051864217436
8,42,relu,98620,77,0.01726597925747689
10,19,swish,14340,46,0.00066825059783036
4,48,sigmoid,69363,157,1.0346782350054016e-05
4,29,sin,46266,42,0.005462812755100383
5,85,sigmoid,85641,115,0.01940223921224025
8,18,sin,24221,134,0.000842168060534201
5,20,relu,66463,31,0.01440626929763699
